,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000156574,0.012468663935645448,0.44299800735597306,1.7316165272492798,0.2558291633192526,0.7980827539968827,
ENSG00000156587,0.02370623593507018,0.3929551300219343,1.179965885032162,0.333022450061108,0.7391173367834132,
ENSG00000156599,0.062129744274058325,0.3733183651426273,0.6279947586840929,0.5944609568476059,0.5522038484857981,
ENSG00000156603,0.02204799403599978,0.43950897802264005,1.0414665624707111,0.42200968697446806,0.673017946838994,
ENSG00000156639,0.057340660749695564,0.40491400394359517,0.7062809599066666,0.5733044311389954,0.5664385856633203,
ENSG00000156642,0.03090483060439987,0.4377134022691482,1.0544785021162704,0.41509940827687397,0.6780691326059203,
ENSG00000156650,0.13583894976290545,0.08893368089204369,0.37259374076946883,0.23868807003676623,0.8113474681487262,
ENSG00000156671,0.023126862701358906,0.43361669937066205,1.0931449829353181,0.39666897450904676,0.6916115819042471,
ENSG00000156675,0.2946457690569064,0.9025894497484724,0.24220847525772268,3.726498211047608,0.0001941584496062559,0.0006139132986800505
ENSG00000156687,0.0034421724615534078,0.42742305240962036,4.712522745754651,0.09069941419267866,0.9277314361207694,
ENSG00000156697,0.05764810086501451,0.39294655255655686,0.814935044181228,0.4821814393211591,0.6296770607981033,
ENSG00000156709,0.04173668146618318,0.42769629117207775,0.8473024884292519,0.5047740293610498,0.6137175586169524,
ENSG00000156711,0.03262021178422355,0.4254742776672226,0.9173787661818489,0.4637934660707879,0.6427957250590025,
ENSG00000156735,0.14314078633148217,0.5401970356295555,0.3947670783146668,1.368394340115077,0.17118867492703727,
ENSG00000156738,0.09265582823191053,0.3974221324606709,0.6207276911942934,0.6402519786027624,0.5220087951256361,
ENSG00000156755,0.0047963899991286685,0.29118259632706345,4.712346863818476,0.06179141831913334,0.9507289376187141,
ENSG00000156787,0.759974090243193,-1.2103985973186808,0.13308540178635653,-9.094901327057245,9.467239644206881e-20,8.834693986562972e-19
ENSG00000156795,0.021475468444665864,0.4134714919809593,1.662077001473888,0.24876795215522698,0.8035402823829494,
ENSG00000156802,0.024141162279372297,0.4043813860974432,1.3619405829941837,0.29691558585354977,0.7665309566839922,
ENSG00000156804,0.04126835015518806,0.4596442680645158,0.7137168159582831,0.6440149058942477,0.5195657682060465,
ENSG00000156831,0.033030556034234784,0.41858156524024664,1.03335177236212,0.4050717059142587,0.6854248035984072,
ENSG00000156853,0.012079881707964035,0.3929715816579781,1.6017647992839121,0.2453366323405663,0.80619578976808,
ENSG00000156858,0.026050401075350255,0.39605463137083335,0.9658431567570833,0.4100610213987818,0.6817611850444478,
ENSG00000156860,0.05417615597010597,0.4581828489993475,0.6083102140441103,0.7532059110980558,0.4513261878119693,
ENSG00000156869,0.009811504413702309,0.4321034495540065,1.9526840592302026,0.22128692427814084,0.8248690305467845,
ENSG00000156873,0.05409395055910435,0.3372066006304265,0.5920882642179154,0.5695208316210084,0.5690027377614479,
ENSG00000156875,0.0064061670193319604,0.41398467453236454,4.71251363443723,0.08784795263129305,0.9299975243713483,
ENSG00000156876,0.0055443526660497525,0.40444320133752293,2.654691567860033,0.15235035445701425,0.8789106112961271,
ENSG00000156885,0.001042502414161918,0.42526681310355924,4.712523288505118,0.09024184859539658,0.9280950295997717,
ENSG00000156920,0.004614746662218569,0.44051379851622924,2.774061547005346,0.15879741348629145,0.873828486693097,
ENSG00000156928,0.017473123488002028,0.41672165956697127,1.3503583749353936,0.30860078872536995,0.7576252208122819,
ENSG00000156931,0.02999979738715915,0.418176964973608,0.96911690965275,0.4315031146484148,0.666102588401021,
ENSG00000156958,0.015940298383670087,0.3829189841802626,1.600907839913378,0.2391886494858952,0.8109593036586408,
ENSG00000156959,0.0049804180228215115,0.43483055869839093,2.906327203678643,0.14961514248912172,0.881068260683224,
ENSG00000156966,0.15384726988352995,0.7294739577112808,0.2989794888651188,2.4398796067257127,0.0146921574243181,0.02990903475664756
ENSG00000156968,0.000592802540834045,0.4218301313720939,4.712524155094988,0.08951256640584611,0.9286745671263806,
ENSG00000156970,0.015221906411945813,0.426352817162731,2.1876235716822565,0.19489313549262532,0.8454766082357589,
ENSG00000156973,0.013916525660745058,0.4135283493564163,1.6979323410494036,0.24354819056031174,0.8075807580007835,
ENSG00000156976,0.27686046783141194,0.23542707316769393,0.24785415541188502,0.9498613116913868,0.3421827273009519,0.4153466225193907
ENSG00000156983,0.023189785503169146,0.3978868648609411,1.0472571224384877,0.37993235504045153,0.7039956291753223,
ENSG00000156990,0.010864276157476014,0.42112738159463325,1.7442391381124018,0.24143901624084246,0.8092148763977343,
ENSG00000157014,0.035061875997540945,0.39533165485944244,0.820228102408795,0.4819777007133223,0.6298217873522047,
ENSG00000157017,0.0008149368821498371,0.42450563282545956,4.7125234800964355,0.09008032206489348,0.9282233863553999,
ENSG00000157020,0.07449425100330957,0.3311520123923134,0.5422112010962383,0.6107435842763722,0.5413693472499069,
ENSG00000157036,0.02624429438202014,0.39320178614932416,1.003243992733275,0.39193036688719235,0.6951096648335499,
ENSG00000157045,0.056882627315529635,0.5090810180997187,0.6805234764282637,0.7480726760105868,0.4544163221817117,
ENSG00000157064,0.024435399207620615,0.4910238426041096,1.018865916793863,0.4819317581544477,0.6298544248009221,
ENSG00000157077,0.06296076236965246,0.5266733469720901,0.5920888286851761,0.8895174532200666,0.3737250475223467,
ENSG00000157087,0.005093465898830234,0.4298319361253477,3.775861163321076,0.11383679577542703,0.9093671693643849,
ENSG00000157106,0.41168732588891277,0.7715612223637642,0.21572112181753197,3.5766605321865073,0.0003480116332637654,0.0010560525677025627
ENSG00000157107,0.033516500957023826,0.45154145170463533,0.9929530495225702,0.4547460244185207,0.649291965617965,
ENSG00000157110,0.020269174925310725,0.4555540424383594,1.0586693226034116,0.43030815450294735,0.6669714960776492,
ENSG00000157111,0.08987665313522672,0.5540045598602241,0.5743590859800701,0.9645613230177884,0.33476457949237504,
ENSG00000157150,0.001748230218485518,0.42573844109248343,4.712523169721993,0.0903419305878127,0.9280155005700712,
ENSG00000157152,0.014706586673362408,0.4458346016291628,1.4960747595169446,0.298002889757404,0.7657009580692657,
ENSG00000157168,0.0008472612902370116,0.42511216233760984,4.71252332746349,0.09020903087315346,0.9281211079900863,
ENSG00000157181,0.026477975351257076,0.3711810574576987,1.2930930796654396,0.2870489861052647,0.774074812250254,
ENSG00000157184,0.04845412117449815,0.4735843455775074,0.721538851404337,0.6563532159852048,0.5115968847259011,
ENSG00000157191,0.024035792109932636,0.40184398915054437,1.0760957316152615,0.37342773263059126,0.7088301222139295,
ENSG00000157193,0.011259718284390445,0.4279158497401709,1.6937046359334902,0.25265081092744596,0.8005380620048294,
ENSG00000157212,0.02414354716524511,0.4304475364018629,0.9986381630314524,0.4310345351665735,0.6664432596657566,
ENSG00000157214,0.04525924018904625,0.4632843670352355,0.8878318966028251,0.5218154121381916,0.6017988577628788,
ENSG00000157216,0.03908675405570965,0.4696461309270431,0.9200994588877672,0.510429743643975,0.6097504233779736,
ENSG00000157224,0.004401534665967487,0.42172993151293414,4.389682627861875,0.09607298915784036,0.9234626035830764,
ENSG00000157227,0.08552309572149212,0.4476291079998949,0.6829916223694337,0.6553947271666094,0.5122136454782489,
ENSG00000157240,0.00337227425616697,0.4249439797885753,3.860950691454781,0.11006200641957932,0.9123601995321258,
ENSG00000157259,0.02447383624102124,0.43626099450829287,1.3213942595768908,0.3301520279405355,0.7412850924830479,
ENSG00000157303,0.004879558583228355,0.4027713637561952,2.99781641136145,0.13435491320606846,0.8931219323561823,
ENSG00000157306,0.128527625326709,0.7549495310814208,0.3669610257692372,2.057301669840463,0.03965721684139662,
ENSG00000157315,0.0,,,,,
ENSG00000157322,0.00038606076745420395,0.42239388576983994,4.712524012907711,0.08963219807748321,0.9285794970124828,
ENSG00000157326,0.056379034970412786,0.46908059082972714,0.7121047151134964,0.6587241747935404,0.5100729061791286,
ENSG00000157335,0.0004588435792165091,0.4225126824808149,4.712523982924973,0.08965740737059749,0.9285594635649583,
ENSG00000157349,0.00531689502321663,0.41139374125346545,4.712504431884721,0.08729832453206468,0.9304343857676513,
ENSG00000157350,0.05274803889280489,0.4441061376649362,0.7455448137464381,0.5956800040406128,0.5513890188852721,
ENSG00000157353,0.01246634767460498,0.45641312638600795,1.4104497244959469,0.32359404128999814,0.7462453998070211,
ENSG00000157379,0.16835342635154676,0.6980002399389562,0.3376845242949262,2.067018740039559,0.038732388151639104,0.06818581520184214
ENSG00000157388,0.16949685872022696,0.8154902202161164,0.3192172249301913,2.5546560665529676,0.010629276736920079,0.022700487843957905
ENSG00000157399,0.015202472086742892,0.4490274587932457,1.3575926803013683,0.33075271052107275,0.7408312837154194,
ENSG00000157404,0.047496057799607895,0.4294681133485548,1.358858799205045,0.31605058126701674,0.7519641159475488,
ENSG00000157426,0.012844373694664698,0.42330647478045946,1.920266522729018,0.22044152192939892,0.8255273108167898,
ENSG00000157429,0.0035201696384322342,0.43578153454405844,3.0190443153109596,0.14434419936600806,0.8852286776855651,
ENSG00000157450,0.059195051831878544,0.3930004222812384,0.6220900894016059,0.6317419759238875,0.5275554944262942,
ENSG00000157456,0.026822794049015244,0.4602086422849702,1.1301448283780557,0.4072120941750851,0.6838522196250617,
ENSG00000157470,0.15560459948649707,0.7467708825854346,0.344215298702538,2.169487775239109,0.03004567147411947,0.055335398388614294
ENSG00000157483,0.18204025428181686,0.6249164397261353,0.3954343372595541,1.580329224965495,0.11403149040513168,0.168648256146159
ENSG00000157500,0.08453783195295829,0.3304985178540237,0.6474740829609218,0.5104428525426722,0.6097412415406425,
ENSG00000157510,0.019486988758466207,0.4177989832434153,1.875854715104807,0.222724595822482,0.823749857447412,
ENSG00000157514,0.48488936041432984,-1.9033246985187238,0.17318101511550602,-10.990377306942502,4.251450739139596e-28,5.274299769909064e-27
ENSG00000157538,0.05009033820352279,0.4678948732022657,0.6183920119690416,0.7566314961159133,0.44927066633097756,
ENSG00000157540,0.1017712876632772,0.43590858882184036,0.44863189185734365,0.971639771343877,0.33122978945483483,
ENSG00000157551,0.0032797458365691856,0.4244742253087071,4.413595893751977,0.09617423876744266,0.9233821904409146,
ENSG00000157554,0.03551908289294628,0.4251784068108085,2.126832476601011,0.19991156402233698,0.8415497462192697,
ENSG00000157557,0.23403730040120416,0.7899131972988617,0.2976236754490792,2.654067073484579,0.00795280169925322,0.017618128974501095
ENSG00000157570,0.029639339325441695,0.4848001352091218,1.0076964332478415,0.48109740117526634,0.6304472750424053,
ENSG00000157578,0.009343771421924564,0.4474214118966194,1.7338150936776058,0.25805601388991894,0.79636367789826,
ENSG00000157593,0.060719427488554724,0.4715269893277944,0.7543366707828316,0.6250882498373778,0.5319131393905607,
ENSG00000157600,0.03431017676516227,0.4687383516653349,0.896446408908909,0.5228849678095648,0.6010543060325504,
ENSG00000157601,0.2238553903998087,0.785281686603962,0.27163121058132383,2.890984747015498,0.0038403675898572506,0.009182919781189276
ENSG00000157613,0.08178371402104019,0.5952432288021883,0.511180791304621,1.164447567137696,0.24424268029963958,
ENSG00000157617,0.013253746235378356,0.4158772960725656,1.45285704585964,0.2862479121794777,0.7746882496314459,
ENSG00000157625,0.032003307375571714,0.4221100426971647,1.1511541625389723,0.36668419959161996,0.7138545937443921,
ENSG00000157637,0.0852168205692385,0.29135569155428387,0.46921819037384854,0.6209386113572172,0.534640015190485,
ENSG00000157653,0.021122582437785718,0.4102223049134664,1.2039632827583249,0.34072659090867935,0.7333094186009257,
ENSG00000157654,0.10556894865788667,-0.1117514089728103,0.5395867261023665,-0.20710555609851983,0.8359274230315566,
ENSG00000157657,0.0060247933353405145,0.42972925714112337,2.8487002466369615,0.15085099165784152,0.8800932609506418,
ENSG00000157693,0.020503968447752437,0.3732585084159825,1.002381144240251,0.3723718373602205,0.7096160192339799,
ENSG00000157734,2.9161266373717747,-0.3072674863917969,0.09246850256040369,-3.322942168238087,0.0008907337893130293,0.0025215537740418507
ENSG00000157741,0.026718300021095136,0.3877335446865293,1.0293283133108198,0.376685980238307,0.7064069828636075,
ENSG00000157764,0.10212841908866488,0.39871431957531794,0.4360194390531287,0.9144416139821117,0.36048484393975133,
ENSG00000157778,0.025405874974544315,0.4547282471605649,0.906348486826927,0.5017145764236247,0.6158683095735265,
ENSG00000157796,0.006941135426532264,0.4238475826460903,2.3716588507173877,0.17871355423562854,0.8581626257873766,
ENSG00000157800,0.01479663623923866,0.4340848020664913,1.6273822106888354,0.26673807739532357,0.7896708342087453,
ENSG00000157823,0.018372214555781495,0.4226439359044999,1.697105100500535,0.24903816256273553,0.8033312616973765,
ENSG00000157827,0.03221655070288485,0.4389092487960701,0.8093884579787006,0.5422726806509762,0.5876306727323944,
ENSG00000157833,0.003642119621011015,0.41802583096244245,3.19746460694777,0.1307366561788094,0.8959836337606912,
ENSG00000157837,0.01905472371391319,0.43977055619903577,1.1778236491963145,0.3733755528674537,0.7088689520528036,
ENSG00000157869,0.011029111076058513,0.41823573484932985,1.7187767421143478,0.24333336878577871,0.8077471565263611,
ENSG00000157870,0.08075323990922136,0.6640307333489365,0.4163206097785809,1.594998464529776,0.11071257914843705,
ENSG00000157873,0.21401010788419628,0.7105281647069126,0.2530642179851594,2.8076990511103412,0.004989683259592836,0.011602251372085216
ENSG00000157881,0.0104695453747746,0.4145752151142129,2.122158237065945,0.1953554677842481,0.8451146764450093,
ENSG00000157890,0.006077857786067157,0.43927791572273206,2.297802987325232,0.19117301097866338,0.8483900477525376,
ENSG00000157895,0.2011051557618237,0.9623332440703194,0.2770669667550722,3.4732875425060112,0.000514124225219268,0.001525018271430993
ENSG00000157911,0.3730879840887078,1.2020876866578212,0.20096248372419862,5.9816522187672065,2.2088550035548896e-09,1.1704711564063473e-08
ENSG00000157916,0.15674802632009327,0.6194950012422782,0.3296887862976543,1.8790296394338903,0.060240446261999,0.0992555477863718
ENSG00000157927,0.006505470242781778,0.43906897381418786,2.1961069370403403,0.1999305982822104,0.8415348595678331,
ENSG00000157933,0.01882410455228132,0.41023079033909654,1.178349235655363,0.3481402439328085,0.727734862210413,
ENSG00000157954,0.03037839594926275,0.37706454733143,0.9027849261078169,0.4176681914230348,0.676189731832512,
ENSG00000157978,0.015294869185541331,0.40531894263929646,1.2475423853487149,0.3248939253683161,0.7452613545657081,
ENSG00000157985,0.02158989891560244,0.4503461059071567,1.5800211755605915,0.28502536097174386,0.7756247122025246,
ENSG00000157992,0.033078035797589674,0.4635823877001489,0.8922690039967939,0.519554512847131,0.6033741089249797,
ENSG00000157999,0.003762630596502291,0.42670264366748956,4.123226780522896,0.10348755146894355,0.9175760289350164,
ENSG00000158006,0.01956893428203397,0.4412252905464164,1.331923168056917,0.3312693262856146,0.7404410585629948,
ENSG00000158019,0.00960673933049472,0.4298252678216483,1.8350744728690007,0.2342276971188253,0.8148082138132222,
ENSG00000158023,0.0011879880812020495,0.41448864251688927,4.712511093116455,0.08795494256179706,0.9299124879171705,
ENSG00000158042,0.008843290600029913,0.4148034104326451,1.8161405017453551,0.22839830400456848,0.8193366078211275,
ENSG00000158050,0.09472973852304363,-0.06260185802065742,0.43844427606999775,-0.14278178878691308,0.8864625201474267,
ENSG00000158062,1.0937945377503897,2.333132815042018,0.14831158807391936,15.73129143407979,9.230896224671821e-56,1.8025889016511918e-54
ENSG00000158079,0.010447175626233337,0.42990356091175524,2.295243663468888,0.18730192691699923,0.8514239122622307,
ENSG00000158092,0.012317367103163312,0.40315693181693524,1.6207630447950367,0.2487451408221853,0.8035579286844255,
ENSG00000158106,0.0011452170035761437,0.42450573145409237,4.712523480270732,0.09008034299061038,0.9282233697266971,
ENSG00000158109,0.03643078490515104,0.42949225778104283,0.7927103291082359,0.5418022725453857,0.5879547256911983,
ENSG00000158113,0.02299535201039696,0.42826961248695145,4.712522532885863,0.09087905882641731,0.9275886899610895,
ENSG00000158122,0.03254546925649552,0.43188525599801103,1.1506097825454071,0.3753533670143008,0.7073976814230406,
ENSG00000158125,0.015924799168945628,0.44943772404856314,1.2918715262352338,0.34789660962519436,0.7279178315497625,
ENSG00000158156,0.018055690688350976,0.4049459236742147,1.3227965146496077,0.306128659389067,0.7595066877125825,
ENSG00000158158,0.035229908248546354,0.48086353588201536,0.9550699299355024,0.5034851593688945,0.6146232117796924,
ENSG00000158161,0.08283909487893092,0.4232700103286897,0.5634661967955402,0.7511897124190359,0.45253849061782725,
ENSG00000158169,0.01884623080055315,0.42647353734545884,1.4321065089557334,0.2977945667298417,0.7658599616483144,
ENSG00000158186,0.005696910310146438,0.4284530358532266,2.5228210048187556,0.16983092935838603,0.865143102142325,
ENSG00000158195,0.10923983399767977,0.3307882203865153,0.44800358033638377,0.7383606625155602,0.4602953123273029,
ENSG00000158201,0.04629265013094143,0.429815314221669,0.8132587146121105,0.5285099397018727,0.5971454500716755,
ENSG00000158220,0.05063494693712822,0.5408172649488572,0.6918114481875066,0.7817408433551618,0.4343668931461804,
ENSG00000158234,0.02478651217470095,0.4507018401290588,1.0112530295210675,0.44568651660061037,0.6558237056127763,
ENSG00000158258,0.013104020362930457,0.4214106626095295,2.091119841110701,0.2015239176276462,0.8402889294811587,
ENSG00000158270,0.0057257674084032865,0.4230407453244469,3.4511609451597023,0.12257925725479915,0.9024402808656521,
ENSG00000158286,0.0632116626845624,0.5299983961996061,0.502825910849515,1.0540395488056367,0.2918648107368692,
ENSG00000158290,0.07334702942535451,0.4352389085241885,0.5769074902616372,0.7544344905745639,0.4505883676909628,
ENSG00000158292,0.004583669867802451,0.4315246183338822,3.0189087615781274,0.14294059622666563,0.8863370966006756,
