names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000267787,12.198232,4.9951124,3.176475151007077e-34,4.528532456459266e-32
ENSG00000262049,12.182589,3.5871265,3.8487013947807618e-34,5.423088779296892e-32
ENSG00000234771,12.17923,4.2730217,4.010509084531513e-34,5.618421859693973e-32
ENSG00000276185,12.124693,3.29725,7.81527352529697e-34,1.0761986884039624e-31
ENSG00000240889,12.105916,2.6239805,9.826576880058176e-34,1.345519306582429e-31
ENSG00000260465,12.092313,3.8532736,1.1597479042866597e-33,1.579081472375926e-31
ENSG00000162585,12.029008,3.0815701,2.501490582278293e-33,3.3495097100605917e-31
ENSG00000109686,11.996538,3.3504717,3.7047132240204967e-33,4.933375258096745e-31
ENSG00000205476,11.907434,2.6582806,1.0825668490821918e-32,1.4337207734620766e-30
ENSG00000188582,11.813192,2.3991375,3.3364814020210824e-32,4.370970986993673e-30
ENSG00000143156,11.805427,5.3520436,3.6592839970604887e-32,4.76808639530957e-30
ENSG00000287299,11.733308,4.434205,8.602926260324795e-32,1.0959960799957476e-29
ENSG00000165215,11.73297,2.5337327,8.63736801779121e-32,1.0959960799957476e-29
ENSG00000171431,11.72472,3.4759648,9.521505204649133e-32,1.2018916673951895e-29
ENSG00000179271,11.714757,2.220706,1.0709749065230788e-31,1.344878126139551e-29
ENSG00000187942,11.700793,5.024031,1.2626741711890297e-31,1.5774315058215116e-29
ENSG00000176563,11.662971,3.146142,1.970465894211851e-31,2.4490364826727397e-29
ENSG00000255857,11.658281,4.593024,2.0820160761264412e-31,2.5744766133163485e-29
ENSG00000271980,11.628066,4.092749,2.9674469497301963e-31,3.650712907292439e-29
ENSG00000287387,11.625823,1.4616857,3.046425568134549e-31,3.7289479832984305e-29
ENSG00000183751,11.612445,4.7407994,3.5627872679042898e-31,4.3390810163280584e-29
ENSG00000008226,11.568175,4.1010556,5.973953599142458e-31,7.239236971440831e-29
ENSG00000103037,11.512162,2.9055226,1.14569641935137e-30,1.3814476825572043e-28
ENSG00000287952,11.420185,2.560414,3.315280298240303e-30,3.9580853846380286e-28
ENSG00000248015,11.402389,3.7458782,4.068002251258067e-30,4.832946203994633e-28
ENSG00000254369,11.17048,4.4676147,5.687298158700112e-29,6.658809573635552e-27
ENSG00000257218,11.154566,2.115436,6.802402889160309e-29,7.926107520273522e-27
ENSG00000141232,11.06473,2.8579695,1.8602198106471686e-28,2.1571429344901806e-26
ENSG00000248487,11.033917,1.8360921,2.621909690503907e-28,3.011592571519085e-26
ENSG00000205890,11.00999,6.201136,3.4204105057515926e-28,3.910239104594132e-26
ENSG00000120539,10.992498,1.9630913,4.1526804271538905e-28,4.7250874569249624e-26
ENSG00000148842,10.980699,2.5002708,4.732497741738481e-28,5.334735593896456e-26
ENSG00000284526,10.964875,2.8155186,5.637836807379224e-28,6.325861706650132e-26
ENSG00000198899,10.940813,3.2453911,7.353754628297363e-28,8.213161159973036e-26
ENSG00000198938,10.906021,2.0073178,1.0787485569571948e-27,1.1938150696992955e-25
ENSG00000122376,10.901017,1.6668657,1.139756469010582e-27,1.2555971719518393e-25
