gene,log2FoldChange,stat,pvalue,padj
ENSG00000161011,1.2554351,1.0,0.22212875,0.2093208429566391
ENSG00000122335,1.2548829,1.0,2.8304741,0.20952127793678865
ENSG00000156052,1.2544433,1.0,2.5751755,0.2096809071253638
ENSG00000287086,1.2540601,1.0,0.8986748,0.209820142866171
ENSG00000111275,1.2538347,1.0,1.0839385,0.20990207750493495
ENSG00000177082,1.253677,1.0,1.1724958,0.20995944553203383
ENSG00000109084,1.2523696,1.0,0.69329023,0.21043521728436365
ENSG00000265142,1.2515357,1.0,1.6825701,0.21073913412697665
ENSG00000214455,1.2508255,1.0,1.7033763,0.210998124263861
ENSG00000143376,1.2492929,1.0,1.1906028,0.2115579987482552
ENSG00000132128,1.2492026,1.0,1.2773693,0.2115909659530274
ENSG00000162885,1.2474445,1.0,1.3458585,0.2122345688367432
ENSG00000279569,1.2472078,1.0,4.735001,0.2123213155790572
ENSG00000173171,1.247174,1.0,1.2856824,0.21233371006137602
ENSG00000120594,1.2467006,1.0,3.7248735,0.21250728769709426
ENSG00000244165,1.2465316,1.0,1.2931588,0.2125693045404795
ENSG00000145349,1.2459568,1.0,0.88220894,0.21278025957988045
ENSG00000166582,1.2451453,1.0,2.5333407,0.2130783357576138
ENSG00000139190,1.2449199,1.0,2.3599648,0.2131611881671952
ENSG00000012171,1.2440747,1.0,1.9668399,0.2134720918165971
ENSG00000166451,1.2396679,1.0,0.32822254,0.21509823689097007
ENSG00000089356,1.2394989,1.0,2.1166615,0.2151607982825977
ENSG00000121350,1.2389354,1.0,0.388638,0.2153694309484202
ENSG00000286027,1.2383832,1.0,24.767384,0.21557403232840466
ENSG00000200278,1.2383832,1.0,24.735697,0.21557403232840466
ENSG00000286112,1.2383832,1.0,24.767384,0.21557403232840466
ENSG00000126775,1.2379887,1.0,1.2011336,0.21572026186711846
ENSG00000126562,1.2378985,1.0,4.639828,0.215753695790174
ENSG00000071967,1.2376618,1.0,3.2030256,0.2158414775939611
ENSG00000267493,1.237504,1.0,3.7433126,0.21590001308372664
ENSG00000234925,1.2371321,1.0,3.2549994,0.21603803482377004
ENSG00000087085,1.2368954,1.0,3.166605,0.21612589991217168
ENSG00000229689,1.2363995,1.0,2.7955391,0.21631008161492093
ENSG00000172380,1.2363545,1.0,2.7955391,0.21632683100707883
ENSG00000231731,1.2357346,1.0,2.4990082,0.21655722982762682
ENSG00000170873,1.2347202,1.0,2.4990082,0.21693462692624643
ENSG00000279243,1.2343258,1.0,1.9271063,0.2170815201798918
ENSG00000270170,1.2343258,1.0,1.9096372,0.2170815201798918
ENSG00000151623,1.2339088,1.0,2.0584183,0.21723688512151706
ENSG00000266469,1.2334242,1.0,2.0797136,0.21741754484306464
ENSG00000146859,1.2334242,1.0,1.7033763,0.21741754484306464
ENSG00000162924,1.2327931,1.0,0.6898827,0.21765298456726034
ENSG00000250734,1.2321168,1.0,0.77881575,0.21790544477633544
ENSG00000275023,1.2314969,1.0,1.4946553,0.21813705149253926
ENSG00000205913,1.2301784,1.0,1.6666445,0.21863033051352765
ENSG00000287613,1.2291415,1.0,24.79841,0.2190187704411235
ENSG00000151376,1.2291415,1.0,24.838795,0.2190187704411235
ENSG00000280693,1.2291415,1.0,24.79841,0.2190187704411235
ENSG00000059915,1.2288259,1.0,0.20305565,0.21913708960300426
ENSG00000029639,1.227789,1.0,1.6285157,0.21952617570320399
ENSG00000278259,1.227451,1.0,0.8313647,0.21965315875829505
ENSG00000148204,1.227203,1.0,2.7955391,0.2197463131654377
ENSG00000267023,1.2260308,1.0,2.2863004,0.22018706327460136
ENSG00000164176,1.2255801,1.0,2.1206324,0.22035675130309773
ENSG00000114859,1.2255688,1.0,2.4990082,0.22036099470529147
ENSG00000135414,1.2240585,1.0,1.6755704,0.22093014085891205
ENSG00000046653,1.2238669,1.0,1.9590544,0.22100242123019365
ENSG00000158417,1.2229879,1.0,0.33163396,0.22133427791175064
ENSG00000198917,1.2198998,1.0,24.767384,0.22250286122166918
ENSG00000175497,1.219449,1.0,4.659356,0.2226738261283503
ENSG00000066248,1.2194039,1.0,4.6200404,0.22269092778943556
ENSG00000268628,1.2193251,1.0,4.538143,0.22272085795856544
ENSG00000136156,1.2192461,1.0,0.3196318,0.22275079100697548
ENSG00000148814,1.2187841,1.0,3.305628,0.2229261709730822
ENSG00000164182,1.2183783,1.0,3.1297255,0.2230802445979051
ENSG00000284770,1.2177584,1.0,2.5585818,0.22331578196665802
ENSG00000186314,1.2166089,1.0,1.9223647,0.22375306754744517
ENSG00000011422,1.2158425,1.0,1.3894674,0.2240449312547158
ENSG00000170445,1.215279,1.0,0.8181763,0.22425971050102356
ENSG00000132003,1.2148957,1.0,1.6110144,0.2244058444314735
ENSG00000226629,1.2106582,1.0,24.735697,0.22602645327970428
ENSG00000230140,1.2106582,1.0,24.767384,0.22602645327970428
ENSG00000261535,1.2091705,1.0,3.1482792,0.22659736656460605
ENSG00000268149,1.2086746,1.0,2.7687902,0.22678789939034127
ENSG00000132640,1.2079757,1.0,2.2069006,0.22705657136028057
ENSG00000136891,1.2078631,1.0,0.8866691,0.22709992679506052
ENSG00000262655,1.2074461,1.0,1.9406904,0.2272603932269216
ENSG00000132361,1.2066008,1.0,1.9590544,0.22758591097386294
ENSG00000137266,1.2021152,1.0,1.365156,0.22931888607845108
ENSG00000070526,1.2000077,1.0,2.7971637,0.23013635759193773
ENSG00000078967,1.1999176,1.0,0.74670625,0.230171375797663
ENSG00000169020,1.1994328,1.0,2.759766,0.23035966356838433
ENSG00000265618,1.1983058,1.0,2.2694256,0.2307979654867791
ENSG00000235079,1.1981481,1.0,1.0549772,0.23085937501849052
ENSG00000137936,1.1964575,1.0,1.7421054,0.2315180630413992
ENSG00000161013,1.1958376,1.0,1.6256381,0.23175991609511193
ENSG00000204438,1.1956799,1.0,0.29993773,0.23182150732456985
ENSG00000136238,1.1936061,1.0,0.3319379,0.23263207233262906
ENSG00000236107,1.1921748,1.0,24.767384,0.23319271006974973
ENSG00000106404,1.1921748,1.0,24.735697,0.23319271006974973
ENSG00000204033,1.1921748,1.0,24.692364,0.23319271006974973
ENSG00000105738,1.191724,1.0,1.2044072,0.23336948713850525
ENSG00000220161,1.1915212,1.0,3.8579094,0.2334490678116522
ENSG00000138095,1.1911943,1.0,0.43612355,0.23357732158509914
ENSG00000154380,1.1909914,1.0,3.2025938,0.23365695249494145
ENSG00000188112,1.1906872,1.0,2.8646104,0.23377643493900346
ENSG00000111077,1.1901461,1.0,2.7415526,0.23398895508762674
ENSG00000197448,1.1895375,1.0,0.88242954,0.2342282038621396
ENSG00000130940,1.1895038,1.0,3.013264,0.23424150054073611
ENSG00000253948,1.1885684,1.0,1.9825759,0.23460958740752214
ENSG00000249310,1.1877906,1.0,1.7150832,0.2349158990272736
ENSG00000052126,1.1873624,1.0,1.5541768,0.23508471325101932
ENSG00000245958,1.1871032,1.0,0.76720554,0.2351869319945007
ENSG00000214106,1.1864946,1.0,1.8117697,0.23542704746909315
ENSG00000132612,1.1863142,1.0,1.9825759,0.23549822610316562
ENSG00000100354,1.1858522,1.0,0.37668437,0.23568069086420296
ENSG00000091879,1.1856606,1.0,1.2996328,0.23575637631480195
ENSG00000102471,1.1854239,1.0,1.6037202,0.23584989384693555
ENSG00000100075,1.1852098,1.0,1.6110618,0.23593452755882394
ENSG00000259351,1.1829331,1.0,24.692364,0.23683564614091435
ENSG00000253972,1.1829331,1.0,24.714188,0.23683564614091435
ENSG00000257135,1.1824936,1.0,4.806989,0.23700990429783275
ENSG00000090006,1.1823809,1.0,1.3197386,0.2370546004689288
ENSG00000111424,1.1819639,1.0,1.1270062,0.2372200280957446
ENSG00000261532,1.181344,1.0,3.0726345,0.23746608475215591
ENSG00000228509,1.1809045,1.0,2.7323616,0.23764067050927173
ENSG00000160191,1.1809045,1.0,2.7415526,0.23764067050927173
ENSG00000279530,1.1803635,1.0,2.3112605,0.23785566972252037
ENSG00000124766,1.1769937,1.0,1.7803248,0.2391980287479818
ENSG00000120137,1.1766669,1.0,1.2931588,0.23932850780984938
ENSG00000052344,1.1760358,1.0,1.2455885,0.2395806094165822
ENSG00000188559,1.1757878,1.0,1.1583974,0.23967970054588217
ENSG00000172828,1.1731843,1.0,4.5486307,0.24072190223613021
ENSG00000131944,1.1726546,1.0,3.5991063,0.24093434216187692
ENSG00000261884,1.1724067,1.0,3.1574702,0.24103382748036717
