gene,pval,qval,log2fc,mean,zero_mean,grad,ll
ENSG00000119185,0.0,0.0,4.736198448394494,0.1585079736110926,False,1.8485834118884767e-11,-3218.8848663838185
ENSG00000119408,1.500009116917056e-09,2.2366207368316816e-09,-2.466810165826439,0.0240348305016474,False,1.5804059087726433e-11,-819.907488216328
ENSG00000119655,0.0001100710371003,0.0001345014380177,1.7743677265161848,0.1331324911341577,False,6.82278474412959e-10,-3060.7254604819414
ENSG00000119844,6.020192899747201e-09,8.742367080502457e-09,2.097141118779237,0.0714647474089384,False,1.090089030261433e-09,-1938.5060883251945
ENSG00000119953,1.0760281554667017e-12,1.75029255158707e-12,3.637586159726384,0.0651639785493959,False,2.9352550122441237e-10,-1780.4561917379294
ENSG00000120265,0.0229994098968763,0.0250493573007283,3.4369154642642328,0.0200586432093829,False,2.5172542984341717e-10,-721.1238184792688
ENSG00000120334,0.0074486179541374,0.0083859721236468,2.8390784635086126,0.028123799616633,False,1.6686600092541232e-10,-953.8466181180396
ENSG00000120437,2.220446049250313e-16,4.0898657010088485e-16,2.988771868919348,0.0958832683808546,False,1.0011231148716438e-10,-2384.865259707054
ENSG00000120539,0.0,0.0,1.0145291714575675,0.4630440227130278,False,6.051209260337256e-10,-6643.59279378942
ENSG00000120738,0.0,0.0,3.022065307261398,0.6757840657455038,False,7.747014432621794e-09,-6581.148843736816
ENSG00000120885,0.0,0.0,5.547128664610823,0.0938099877692597,False,5.779274334675316e-09,-1580.168748916166
ENSG00000121644,0.0005070653415869,0.0005963374087677,3.755369195382768,0.0239237638278022,False,1.0076776757569811e-10,-836.1085998412326
ENSG00000121671,7.60046779180179e-07,1.0127219052374195e-06,4.043051267834548,0.0124029344488712,False,1.2184388298033313e-12,-485.0050308120671
ENSG00000122035,0.0,0.0,3.2682352858741908,0.1564603364615182,False,1.2976860970554312e-08,-3144.8876170644
ENSG00000122483,0.0,0.0,0.8395514173028799,0.586673077943622,False,1.006486640890106e-09,-7704.66046563432
ENSG00000122966,6.982714406689183e-11,1.0665670480949028e-10,4.448516375942713,0.0415187606253608,False,1.2524948084433588e-11,-1225.7108352478726
ENSG00000123358,0.0,0.0,1.1424377792751528,0.335284959904077,False,1.5526683766261706e-09,-5080.807288962339
ENSG00000123384,0.0,0.0,5.558358256475745,0.1208524998805212,False,1.4957074275800447e-11,-1977.6190844506116
ENSG00000123562,2.049332703535356e-09,3.028659836198269e-09,3.269861379601067,0.0467186904535061,False,2.004740120001802e-09,-1382.1514161840028
ENSG00000124243,0.0,0.0,-1.847125465086907,5.750345839515197,False,4.497628194618623e-10,-20903.54099696043
ENSG00000124422,1.3211653993039364e-14,2.3471768264229503e-14,2.7902882993391804,0.0692094990716236,False,1.3972622887549702e-09,-1861.4381613666271
ENSG00000124762,0.0,0.0,3.0622220148228227,0.1570622810686046,False,6.677012193990897e-09,-3028.5186605259137
ENSG00000125304,0.0,0.0,1.1713716429505374,0.3913673567212646,False,2.4076560324731478e-08,-5807.304700201036
ENSG00000125347,6.472600233564664e-14,1.1143548855724729e-13,2.1382739707404195,0.0823512840785178,False,2.82533290851311e-10,-2135.032736142127
ENSG00000125740,0.0,0.0,1.2137022854624395,0.6034997598334251,False,7.243393498215873e-09,-6498.716374609368
ENSG00000126012,1.8282988520690324e-05,2.2956835210190107e-05,2.890371757896164,0.0348776046064544,False,1.0293863099066951e-11,-1124.1661434909247
ENSG00000126709,0.0,0.0,3.349904087274603,0.0198256899682772,False,6.675863152073262e-11,-659.0470588745785
ENSG00000126746,9.115308903351329e-06,1.1709666052766705e-05,2.699316521133454,0.0355845237316869,False,1.8455669328822858e-10,-1145.2420639904512
ENSG00000127951,5.5511151231257833e-14,9.623213414138469e-14,3.269861379601067,0.0392182502653794,False,1.0388321663172595e-09,-1180.6351980775778
ENSG00000128016,0.0,0.0,1.994241348721024,1.4144225428368702,False,5.52872578146046e-10,-10369.947497788204
ENSG00000128272,0.0001613032203724,0.0001961478480742,3.637586159726384,0.0278269756787934,False,1.9204145409045152e-10,-943.8266944075818
ENSG00000128708,0.0,0.0,1.9429904389519776,0.0759336765660423,False,4.822064099572845e-09,-1930.784380990526
ENSG00000128908,0.0498581491745762,0.0533737878984245,3.755369195382768,0.0426660679979839,False,4.3659024704333176e-11,-1302.2910837078773
ENSG00000129071,0.0,0.0,-1.9747012737433072,0.0754433044604932,False,1.6656870712370654e-11,-1858.0337875389343
ENSG00000129534,8.659739592076221e-15,1.543960688836365e-14,2.279462675573191,0.03543395181346,False,6.156435384633964e-10,-1104.7592148294382
ENSG00000129675,0.0,0.0,-3.5417641530546016,0.015593762495002,False,1.919237550091184e-11,-480.0144644629685
ENSG00000130449,0.0158356552408378,0.0175912711211968,4.918520005188448,0.0170663637268603,False,5.779237098891809e-11,-638.9831028360818
ENSG00000130741,2.620126338115369e-14,4.6059062996343857e-14,-0.8080084701721513,0.2639069228859944,False,1.6709282210023107e-09,-4807.581821121005
ENSG00000131051,2.6978419498391304e-14,4.7259399191237913e-14,0.9220802299163264,0.2242782067104838,False,3.5196005969904492e-09,-4313.092131436672
ENSG00000132002,0.0,0.0,-1.2250003262361349,0.6198747894648121,False,3.7456926876943466e-08,-7339.158316936032
ENSG00000132294,6.533520990892328e-07,8.728784043832149e-07,2.839078463508613,0.0222577635612421,False,2.614207841330837e-10,-783.4969076898188
ENSG00000132382,8.043589627693137e-08,1.1162987267241721e-07,4.043051267834548,0.0288151406167777,False,4.918806077908567e-11,-959.991493786408
ENSG00000132475,0.0,0.0,1.4472936859672636,0.3235100981989543,False,8.591892748823147e-10,-5451.296232961929
ENSG00000132763,0.0,0.0,1.557925588343018,0.7168862594982457,False,3.43371057496772e-10,-8106.921648821247
ENSG00000133104,0.0,0.0,3.5322256440685584,0.011755182320287,False,1.4948566927750958e-10,-406.63648811419125
ENSG00000133112,0.0,0.0,-1.575352552818404,3.624574512985052,False,4.0800355875817337e-10,-16920.090672582344
ENSG00000133639,0.0,0.0,-2.2663957993696293,0.1736973412593102,False,5.047840680848441e-10,-3222.7171134437963
ENSG00000134108,0.0,0.0,2.3907657601011936,0.0829838752214326,False,5.483841687182228e-10,-2124.4584275208977
ENSG00000134333,6.421529974431905e-13,1.0582850385494685e-12,2.520206891435579,0.196981385700637,False,8.792693718855485e-11,-3916.764622866069
ENSG00000134352,0.0,0.0,3.4834354798991263,0.1402791826589191,False,4.154221247049175e-11,-2537.768147152631
ENSG00000134717,0.0001869198743549,0.0002256550772333,3.126760535960394,0.044279954240161,False,1.1536783827743288e-10,-1362.5728218052188
ENSG00000134910,0.0,0.0,2.576714199041122,0.0932061714210201,False,2.3144149511342092e-11,-2261.9915776209864
ENSG00000135018,0.0,0.0,2.097141118779236,0.0607338420680311,False,2.670406443506936e-10,-1686.925861305465
ENSG00000135899,0.0,0.0,-3.709697839545787,0.0598344667876114,False,3.0045693911335914e-10,-1348.8846635467132
ENSG00000136156,0.0,0.0,1.84770762262818,0.2340733049327923,False,8.893271251074702e-10,-4118.846853856827
ENSG00000136238,2.9222824049490725e-08,4.1241224926182694e-08,2.8760417906127427,0.106704660509227,False,2.922557298946226e-10,-2594.5263410302464
ENSG00000136870,0.0058043717690425,0.0065791634757699,3.062222014822823,0.0280887644942023,False,4.3493906944207466e-11,-941.2712809477092
ENSG00000137145,0.0,0.0,2.433613355400449,0.10853651859607,False,1.842216185713599e-11,-2607.946588843317
ENSG00000137331,1.1102230246251563e-16,2.0754542363328483e-16,3.694744573566332,0.1875800216481373,False,2.1918209417136535e-10,-3579.823807351256
ENSG00000137413,1.676237020298288e-06,2.2099861767616904e-06,4.222156966045445,0.03773845360043,False,1.629374658085949e-09,-1171.467291427781
ENSG00000138193,0.0,0.0,5.396465203485011,0.0837949837953811,False,4.663781255310775e-10,-2072.534821839856
ENSG00000138443,0.0,0.0,3.436915464264233,0.2169469177017146,False,4.3586234608671074e-10,-4038.83803935974
ENSG00000138496,2.71327404988142e-12,4.301741452501872e-12,2.278768908964843,0.078038689891537,False,3.177272767308032e-12,-2068.995594464935
